	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
33	AK		6				0	An equation is shown. 2x + 6 = 14 Which value of x makes this equation true?	1	3	4	10		An equation is shown. 2x + 6 = 14 Which value of x makes this equation true? 1 3 4 10
34	AK		6				0	Stella has some pens in her schoolbag. If she doubled the number of pens in her schoolbag, she would have 18 pens. How many pens does Stella have in her schoolbag?	6	9	16	36		Stella has some pens in her schoolbag. If she doubled the number of pens in her schoolbag, she would have 18 pens. How many pens does Stella have in her schoolbag? 6 9 16 36
35	AK		6				0	Divide. 3/4  /    6/8	1 / 2	1	16 / 9	2		Divide. 3/4  /    6/8  1 / 2 1  16 / 9 2
36	AK		6				0	Add. 368.903 + 42.18	373.121	410.1083	411.083	790.703		Add. 368.903 + 42.18 373.121 410.1083 411.083 790.703
37	AK		6				0	What is the value of 174/6  ?	26	29	32	168		What is the value of 174/6  ? 26 29 32 168
38	AK		6				0	Some students' scores on a 10-point math assignment are shown below. 4, 4, 6, 7, 8, 9, 10   What is the range of the scores?	4	6	7	10		Some students' scores on a 10-point math assignment are shown below. 4, 4, 6, 7, 8, 9, 10   What is the range of the scores? 4 6 7 10
39	AK		6				0	The heights, in inches, of the starting members of a basketball team are shown below. 63, 68, 72, 60, 62 What is the mean height of the starting members of the basketball team?	60 inches	63 inches	65 inches	72 inches		The heights, in inches, of the starting members of a basketball team are shown below. 63, 68, 72, 60, 62 What is the mean height of the starting members of the basketball team? 60 inches 63 inches 65 inches 72 inches
40	AK		6				0	Which expression is equivalent to 3x + 40 ?	20^2 + 3x	5x + 7^2 - 2x - 9	1/2(6x -2) + 40	x + x + x + 20 + 20 - x		Which expression is equivalent to 3x + 40 ? 20^2 + 3x 5x + 7^2 - 2x - 9 1/2(6x -2) + 40 x + x + x + 20 + 20 - x
41	AK		6				0	An inequality with a missing number is shown. -1 < __ < 10 Which number makes the inequality true?	-6	-1	0	10		An inequality with a missing number is shown. -1 < __ < 10 Which number makes the inequality true? -6 -1 0 10
42	AK		6				0	What is the value of 8^4?	32	512	4096	32768		What is the value of 8^4?  32 512 4096 32768
43	AK		6				1	The net shown represents a triangular prism. What is the surface area, in square centimeters, of the prism?	264	288	312	336		The net shown represents a triangular prism. What is the surface area, in square centimeters, of the prism?  264 288 312 336
44	AK		6				1	A right triangle is shown. What is the area, in square units, of this triangle?	25	56	84	168		A right triangle is shown. What is the area, in square units, of this triangle? 25 56 84 168
79	AR	2017.0	6	The Number System	6.NS.B.4		0	What is the greatest common factor of 12, 64, and 144?	2	4	12	16	576	What is the greatest common factor of 12, 64, and 144? 2 4 12 16 576
80	AR	2017.0	6	Ratios and Proportional Relationships	6.RP.A.3		0	Kathryn was hired to mow 30 lawns. She mowed 40% of the lawns. How many lawns does Kathryn have left to mow?	10	12	18	24	26	Kathryn was hired to mow 30 lawns. She mowed 40% of the lawns. How many lawns does Kathryn have left to mow? 10 12 18 24 26
81	AR	2017.0	6	Geometry	6.G.A.1		0	A certain triangle has a base of 8 feet and a height of 6 feet. What is the area, in square feet, of the triangle?	14	24	28	48	96	A certain triangle has a base of 8 feet and a height of 6 feet. What is the area, in square feet, of the triangle? 14 24 28 48 96
82	AR	2017.0	6	Statistics and Probability	6.SP.B		1	Nigel's class placed 10 empty rain gauges on the playground Monday morning. The line plot below shows the number of inches of rainwater in each gauge after it rained Monday afternoon. What is the mean amount of rainwater per rain gauge, in inches, in the 10 rain gauges?	25 / 80	5 / 8	51 / 80	37 / 56	51 / 8	Nigel's class placed 10 empty rain gauges on the playground Monday morning. The line plot below shows the number of inches of rainwater in each gauge after it rained Monday afternoon. What is the mean amount of rainwater per rain gauge, in inches, in the 10 rain gauges?  25 / 80  5 / 8  51 / 80  37 / 56  51 / 8
83	AR	2017.0	6	Expressions and Equations	6.EE.C.9		1	The table below shows the time and distance Carmen rode her bicycle on each of 4 days. Based on the information in the table, which of the following equations represents the relationship between t and d?	0.42t = d	1.05t = d	1.90t = d	2.30t = d	10.50t = d	The table below shows the time and distance Carmen rode her bicycle on each of 4 days. Based on the information in the table, which of the following equations represents the relationship between t and d? 0.42t = d 1.05t = d 1.90t = d 2.30t = d 10.50t = d
103	CO	2020.0	6				0	What is the value of this expression? 1224   ÷  16	76	76.2	76.5	76.8		What is the value of this expression? 1224   ÷  16 76 76.2 76.5 76.8
104	CO	2020.0	6				0	Which number is closest to zero on a number line?	-  3 / 5	-  2/5	1 / 5	4 / 5		Which number is closest to zero on a number line?  -  3 / 5  -  2/5  1 / 5  4 / 5
105	CO	2020.0	6				0	Which question is a statistical question?	Which students in an elementary school class can speak another language?	How many students in a middle school class like each type of food?	Which elementary classes is the principal visiting this week?	How many students are in a middle school?		Which question is a statistical question? Which students in an elementary school class can speak another language? How many students in a middle school class like each type of food? Which elementary classes is the principal visiting this week? How many students are in a middle school?
106	CO	2020.0	6				0	A store sells cherries for $3.70 per pound.   A person buys x pounds of cherries for $7.56. Which equation can be used to find the number of pounds of cherries the person buys?	3.70 + x = 7.56	7.56 + x = 3.70	3.70x = 7.56	7.56x = 3.70		A store sells cherries for $3.70 per pound.   A person buys x pounds of cherries for $7.56. Which equation can be used to find the number of pounds of cherries the person buys? 3.70 + x = 7.56 7.56 + x = 3.70 3.70x = 7.56 7.56x = 3.70
107	CO	2020.0	6				0	The store changes the price of the cherries. The equation 3.70 + p = 4.66 represents the relationship between the old and new prices of cherries, where p is the change in the price per pound of cherries. What is the value of p in this equation?	0.81	0.9	0.96	1.23		The store changes the price of the cherries. The equation 3.70 + p = 4.66 represents the relationship between the old and new prices of cherries, where p is the change in the price per pound of cherries. What is the value of p in this equation? 0.81 0.9 0.96 1.23
108	CO	2020.0	6				0	Another area of the playground has a soft mat for safety. The area of the rectangular mat is  9 1/3  square feet. The mat is  1/4  -foot thick. What is the volume, in cubic feet, of the mat?	2 1/3	9 7/12	21  7/9	37  1/3		Another area of the playground has a soft mat for safety. The area of the rectangular mat is  9 1/3  square feet. The mat is  1/4  -foot thick. What is the volume, in cubic feet, of the mat?  2 1/3 9 7/12 21  7/9 37  1/3
109	CO	2020.0	6				1	A playground has a sandbox in the shape of a right rectangular prism. The length of the sandbox is  4 1/2   feet, and the width is  5  1/3   feet. The height of the sandbox is  1/2  foot. What is the volume, in cubic feet, of the sandbox?	4 11/12	10  1/3	12	24		A playground has a sandbox in the shape of a right rectangular prism. The length of the sandbox is  4 1/2   feet, and the width is  5  1/3   feet. The height of the sandbox is  1/2  foot. What is the volume, in cubic feet, of the sandbox?  4 11/12 10  1/3 12 24
159	FL	2020.0	6	Ratios and Proportional Relationships	MAFS.6.RP.1		0	Jordan has 3 blue marbles and 8 red marbles. What is  the ratio of blue  marbles to red marbles?	3 : 3	3 :  5	3 :  8	3 : 11		Jordan has 3 blue marbles and 8 red marbles. What is  the ratio of blue  marbles to red marbles? 3 : 3 3 :  5 3 :  8 3 : 11
160	FL	2020.0	6	Ratios and Proportional Relationships	MAFS.6.RP.1.2		0	Which statement describes a unit rate?	Sara ate 1  cookie.	Sara is driving 16 miles.	Sara is driving 30  miles per 1  hour.	Sara ate 3  crackers and 1  apple.		Which statement describes a unit rate?  Sara ate 1  cookie.  Sara is driving 16 miles.  Sara is driving 30  miles per 1  hour.  Sara ate 3  crackers and 1  apple.
161	FL	2020.0	6	The Number System	MAFS.6.NS.2.4		0	Which expression is equivalent to    8  + 20 ?	4(4 + 20)	4(2 + 5)	2(2 + 10)	2(6 + 18)		Which expression is equivalent to    8  + 20 ?   4(4 + 20)  4(2 + 5)  2(2 + 10)  2(6 + 18)
162	FL	2020.0	6	The Number System	MAFS.6.NS.3.5		0	Desert Shores, California is located at an elevation that is below sea level. What is a possible elevation of Desert Shores, California?	600  feet	500  feet	−200  feet	0  feet		Desert Shores, California is located at an elevation that is below sea level. What is a possible elevation of Desert Shores, California?  600  feet  500  feet  −200  feet  0  feet
163	FL	2020.0	6	The Number System	MAFS.6.NS.3.7		0	Which value is furthest from 0 on the number line?	20	-21	|20.5|	| −21.5|		Which value is furthest from 0 on the number line?  20 -21 |20.5|  | −21.5|
164	FL	2020.0	6	Expressions and Equations	MAFS.6.EE.1.1		0	Which value is equivalent to the expression 4^5?	9	20	625	1024		Which value is equivalent to the expression 4^5?   9 20 625 1024
165	FL	2020.0	6	Expressions and Equations	MAFS.6.EE.1.2		0	Which expression has a coefficient of 2?	3	2x^5	4x^2	3x  /2		Which expression has a coefficient of 2?  3 2x^5 4x^2 3x  /2
166	FL	2020.0	6	Expressions and Equations	MAFS.6.EE.1.4		0	Which is an equivalent way to express 3𝑦?	y^3	3 + y	y + y + y	y∙y∙y		Which is an equivalent way to express 3𝑦?   y^3 3 + y y + y + y y∙y∙y
167	FL	2020.0	6	Expressions and Equations	MAFS.6.EE.2.5		0	An equation is shown. x  +  5   =  14  Which of the values can be substituted for x to make the equation  true?	7	9	14	15		An equation is shown. x  +  5   =  14  Which of the values can be substituted for x to make the equation  true?  7 9 14 15
168	FL	2020.0	6	Expressions and Equations	MAFS.6.EE.2.7		0	Suzie buys a salad for $6.35 on lunch. She bought a salad for $5.12 and a drink for 𝑥 dollars.    Which equation can be used to solve for the price of  the drink?	5.12𝑥  =  6.35	x / 6.35  = 5.12	𝑥 + 5.12 = 6.35	6.35 + 𝑥 = 5.12		Suzie buys a salad for $6.35 on lunch. She bought a salad for $5.12 and a drink for 𝑥 dollars.    Which equation can be used to solve for the price of  the drink?  5.12𝑥  =  6.35  x / 6.35  = 5.12 𝑥 + 5.12 = 6.35  6.35 + 𝑥 = 5.12
169	FL	2020.0	6	Geometry	MAFS.6.G.1		1	The surface area of a rectangular prism is 115 square inches. The net of the prism is shown.   What are possible dimensions of the prism?	2, 4, 6  1 / 2	2, 4, 8  1 / 4	3, 6, 6  1 / 2	3, 6, 8  1 / 4		The surface area of a rectangular prism is 115 square inches. The net of the prism is shown.   What are possible dimensions of the prism?  2, 4, 6  1 / 2 2, 4, 8  1 / 4 3, 6, 6  1 / 2 3, 6, 8  1 / 4
