	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
57	AK		8				0	Which value is an irrational number?	4	√ 5	2022-02-03 00:00:00	√ 64		Which value is an irrational number? 4 √ 5 2/3 √ 64
58	AK		8				0	Which expression is equivalent to 2^6  x 2^-3   ?	2 ^-18	2^-2	2^3	2^9		Which expression is equivalent to 2^6  x 2^-3   ? 2 ^-18 2^-2 2^3 2^9
59	AK		8				0	Data regarding the number of hours of study and the score on a college entrance test were studied. The linear model that fits these data is y = 10 + 2x , where x is the number of hours of study and y is the test score. What is the meaning of the slope and the y-intercept of this linear model?	The score increases by 2 for each additional hour of study, and a score of 10 is the result of no hours of study.	The score increases by 10 for each additional hour of study, and a score of 2 is the result of no hours of study.	The score increases by 12 for each additional hour of study, and a score of 0 is the result of no hours of study.	The score increases by 10 for every 2 hours of study, and a score of 0 is the result of no hours of study.		Data regarding the number of hours of study and the score on a college entrance test were studied. The linear model that fits these data is y = 10 + 2x , where x is the number of hours of study and y is the test score. What is the meaning of the slope and the y-intercept of this linear model? The score increases by 2 for each additional hour of study, and a score of 10 is the result of no hours of study. The score increases by 10 for each additional hour of study, and a score of 2 is the result of no hours of study. The score increases by 12 for each additional hour of study, and a score of 0 is the result of no hours of study. The score increases by 10 for every 2 hours of study, and a score of 0 is the result of no hours of study.
60	AK		8				0	An equation is shown. 3x + 7 = 7 - 3x What is the value of x?	0	1	no solution	infinitely many solutions		An equation is shown. 3x + 7 = 7 - 3x What is the value of x? 0 1 no solution infinitely many solutions
61	AK		8				1	Rafael is publishing a poetry magazine. It costs him $4 per copy to print the magazine. It also costs a flast fee of $20 for delivery. To represent the total cost, y, in dollars, to print and deliver x copies of the magazine, Rafael writes the equation y = 4x + 20. Which graph represents the total cost to print and deliver x copies of the magazine?	option A	option B	option C	option D		Rafael is publishing a poetry magazine. It costs him $4 per copy to print the magazine. It also costs a flast fee of $20 for delivery. To represent the total cost, y, in dollars, to print and deliver x copies of the magazine, Rafael writes the equation y = 4x + 20. Which graph represents the total cost to print and deliver x copies of the magazine? option A option B option C option D
62	AK		8				1	Three values of linear function f(x) are shown in the table. Which function has a greater y-intercept than the y-intercept of f(x) ?	g(x) = 3x	g(x) = 2x + 2	g(x) = x - 15	g(x) = x + 3		Three values of linear function f(x) are shown in the table. Which function has a greater y-intercept than the y-intercept of f(x) ? g(x) = 3x g(x) = 2x + 2 g(x) = x - 15 g(x) = x + 3
63	AK		8				1	A graph of a line segment is shown. The line segment is translated 2 units to the right and 3 units down. What are the coordinates of the new endpoints of the line segment?	(-1, 8) and (-7, 1)	(2, 3) and (-5, -3)	(3, 2) and (-4, -5)	(4, 3) and (-2, -4)		A graph of a line segment is shown. The line segment is translated 2 units to the right and 3 units down. What are the coordinates of the new endpoints of the line segment? (-1, 8) and (-7, 1) (2, 3) and (-5, -3) (3, 2) and (-4, -5) (4, 3) and (-2, -4)
64	AK		8				1	Ahmad creates a function that consists of 6 ordered pairs. He graphs the 6 points that represent his function on the coordinate plane as shown. Ahmad then changes his function by removing 2 of the ordered pairs. His new function is a linear function. Which ordered pair represents one of the points Ahmad removed from his function?	(1, 3)	(7, 6)	(12, 6)	(13, 9)		Ahmad creates a function that consists of 6 ordered pairs. He graphs the 6 points that represent his function on the coordinate plane as shown. Ahmad then changes his function by removing 2 of the ordered pairs. His new function is a linear function. Which ordered pair represents one of the points Ahmad removed from his function? (1, 3) (7, 6) (12, 6) (13, 9)
65	AK		8				1	Triangle ABC and its congruent image A'B'C' are shown. Which sequence correctly describes a way to map triangle ABC onto triangle A'B'C'?	Reflect triangle ABC over the x-axis and then reflect it over the y-axis.	Translate triangle ABC 7 units to the right, and then reflect it over the x-axis.	Translate triangle ABC 7 units to the right, and then translate it 2 units down.	Rotate triangle ABC 180 degrees about the origin, and then translate it 2 units to the right.		Triangle ABC and its congruent image A'B'C' are shown. Which sequence correctly describes a way to map triangle ABC onto triangle A'B'C'? Reflect triangle ABC over the x-axis and then reflect it over the y-axis. Translate triangle ABC 7 units to the right, and then reflect it over the x-axis. Translate triangle ABC 7 units to the right, and then translate it 2 units down. Rotate triangle ABC 180 degrees about the origin, and then translate it 2 units to the right.
66	AK		8				1	A triangle is shown, with angles A and B as marked. Which statement is correct?	The measure of angle DCB is 35 degrees because the base angles of the triangle are congruent.	The measure of angle DCB is 70 degrees because the angles are on the two sides of a transversal.	The measure of angle DCB is 75 degrees because the angle measures must add up to 180 degrees.	The measure of angle DCB is 105 degrees because it is the sum of the two remote interior angles.		A triangle is shown, with angles A and B as marked. Which statement is correct? The measure of angle DCB is 35 degrees because the base angles of the triangle are congruent. The measure of angle DCB is 70 degrees because the angles are on the two sides of a transversal. The measure of angle DCB is 75 degrees because the angle measures must add up to 180 degrees. The measure of angle DCB is 105 degrees because it is the sum of the two remote interior angles.
