	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
0	AK		3				0	Mr. Jones bought a rectangular rug that is 7 feet long and 4 feet wide. What is the area of the rug?	11 square feet	21 square feet	22 square feet	28 square feet		Mr. Jones bought a rectangular rug that is 7 feet long and 4 feet wide. What is the area of the rug? 11 square feet 21 square feet 22 square feet 28 square feet
1	AK		3				0	Lisa is solving the division problem 54 / 6 . Which number sentence can help Lisa find the answer?	6 + 48 = 42	6 + 54 = 60	6 x 9 = 54	6 x 54 = 324		Lisa is solving the division problem 54 / 6 . Which number sentence can help Lisa find the answer? 6 + 48 = 42 6 + 54 = 60 6 x 9 = 54 6 x 54 = 324
2	AK		3				0	Mark has all of his books on 6 shelves. Each shelf has 7 books. How many books, in total, does Mark have?	13	35	42	48		Mark has all of his books on 6 shelves. Each shelf has 7 books. How many books, in total, does Mark have? 13 35 42 48
3	AK		3				0	Multiply 4 x 70	28	74	240	280		Multiply 4 x 70 28 74 240 280
4	AK		3				0	Which number makes the equation true?  ? / 8 = 4	2	4	12	32		Which number makes the equation true?  ? / 8 = 4 2 4 12 32
5	AK		3				0	Which expression has the same value as 3 x 7?	7 x 3	21 / 3	21 x 3	7 / 3		Which expression has the same value as 3 x 7? 7 x 3 21 / 3 21 x 3 7 / 3
6	AK		3				1	A rectangle with 24 squares is shown. Which expression could be used to find the number of squares in one row of the rectangle?	24 + 4	24 - 4	24 x 4	24 / 4		A rectangle with 24 squares is shown. Which expression could be used to find the number of squares in one row of the rectangle? 24 + 4 24 - 4 24 x 4 24 / 4
7	AK		3				1	A rectangle is shown. What fraction of the rectangle is shaded?	2 / 4	2 / 6	2 / 8	4 / 6		A rectangle is shown. What fraction of the rectangle is shaded?  2 / 4  2 / 6  2 / 8  4 / 6
8	AK		3				1	Kelly cuts a pizza into four equal-sized pieces, as shown. What fraction of the area of the whole pizza is represented by one piece?	1 / 4	4 / 1	2022-04-04 00:00:00	1 / 1		Kelly cuts a pizza into four equal-sized pieces, as shown. What fraction of the area of the whole pizza is represented by one piece?  1 / 4  4 / 1 44655  1 / 1
9	AK		3				1	A number line is shown. Which point shows 7/7 on the number line?	A	B	C	D		A number line is shown. Which point shows 7/7 on the number line? A B C D
10	AK		3				1	A shape is shown. Which word describes the shape?	square	rhombus	parallelogram	rectangle		A shape is shown. Which word describes the shape? square rhombus parallelogram rectangle
67	AR	2017.0	3	Number and Operations in Base Ten	3.NBT.A		0	The number of students who attended summer camp during each of 2 weeks is listed below. Week 1: 289 Week 2: 347 Andrea estimated the total number of students by correctly rounding each number to the nearest 100 and then adding the rounded numbers. What is Andrea's estimated total?	500	550	600	640	700	The number of students who attended summer camp during each of 2 weeks is listed below. Week 1: 289 Week 2: 347 Andrea estimated the total number of students by correctly rounding each number to the nearest 100 and then adding the rounded numbers. What is Andrea's estimated total? 500 550 600 640 700
