	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
22	AK		5				0	Which expression is equivalent to 7/8 ?	7 x 8	7 + 8	7 - 8	7 / 8		Which expression is equivalent to 7/8 ? 7 x 8 7 + 8  7 - 8 7 / 8
23	AK		5				0	The rules for two number patterns are described. Pattern x: Start with 4 and add 3 each time. Pattern y: Start with 0 and add 5 each time. Which ordered pair (x,y) shows corresponding terms from the two patterns?	(3, 5)	(4, 3)	(7, 0)	(7, 5)		The rules for two number patterns are described. Pattern x: Start with 4 and add 3 each time. Pattern y: Start with 0 and add 5 each time. Which ordered pair (x,y) shows corresponding terms from the two patterns? (3, 5) (4, 3) (7, 0) (7, 5)
24	AK		5				0	Divide. 162 / 9	13	18	22	27		Divide. 162 / 9 13 18 22 27
25	AK		5				0	Victoria works for several days building a path. At the end of day 1 she has completed over half of the path, but she is not finished.  Which fraction could represent the amount of the path she completed on day 1?	8 / 9	1 / 2	1 / 10	2 / 5		Victoria works for several days building a path. At the end of day 1 she has completed over half of the path, but she is not finished.  Which fraction could represent the amount of the path she completed on day 1?  8 / 9  1 / 2  1 / 10  2 / 5
26	AK		5				0	Bruce walks a mile every day for exercise. Today he has walked 4,135 feet. How many more feet does he need to walk today to reach a mile?	1045	1145	1155	4135		Bruce walks a mile every day for exercise. Today he has walked 4,135 feet. How many more feet does he need to walk today to reach a mile? 1045 1145 1155 4135
27	AK		5				0	Mila's town has a population of 12,284 people. Which statement correctly compares the value of the 2 in the hundreds place to the value of the 2 in the thousands place?	The value of the 2 in the hundreds place is 10 times the value of the 2 in the thousands place.	The value of the 2 in the hundreds place is 1/10  the value of the 2 in the thousands place.	The value of the 2 in the thousands place is the same as the value of the 2 in the hundreds place.	The value of the 2 in the thousands place is less than the value of the 2 in the hundreds place.		Mila's town has a population of 12,284 people. Which statement correctly compares the value of the 2 in the hundreds place to the value of the 2 in the thousands place? The value of the 2 in the hundreds place is 10 times the value of the 2 in the thousands place. The value of the 2 in the hundreds place is 1/10  the value of the 2 in the thousands place. The value of the 2 in the thousands place is the same as the value of the 2 in the hundreds place. The value of the 2 in the thousands place is less than the value of the 2 in the hundreds place.
28	AK		5				0	"Ms. Jones tells her class to write down the problem ""subtract 3 from 9, then multiply by 7.""  Which number sentence matches Ms. Jones's problem?"	3 - 9 x 7	9 x 7 - 3	9 - (3 x 7)	(9 - 3) x 7		"Ms. Jones tells her class to write down the problem ""subtract 3 from 9, then multiply by 7.""  Which number sentence matches Ms. Jones's problem? 3 - 9 x 7 9 x 7 - 3 9 - (3 x 7) (9 - 3) x 7 "
29	AK		5				0	Hayden has a tile with four sides and four right angles. He says his tile is a rectangle. What other shape could describe Hayden's tile?	hexagon	square	pentagon	right triangle		Hayden has a tile with four sides and four right angles. He says his tile is a rectangle. What other shape could describe Hayden's tile? hexagon square pentagon right triangle
30	AK		5				0	Mr. Wilson is making punch for a party. The recipe calls for 2 pints of juice. He has already added 1 cup of juice. How many more cups of juice does he need to add to the punch?	1	2	3	4		Mr. Wilson is making punch for a party. The recipe calls for 2 pints of juice. He has already added 1 cup of juice. How many more cups of juice does he need to add to the punch? 1 2 3 4
31	AK		5				0	Which number is greater than the value of 3 x  2/3 ?	1 / 3	1	4 / 3	3		Which number is greater than the value of 3 x  2/3 ?  1 / 3 1 4 / 3 3
