	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
11	AK		4				0	Which inequality is true?	2/5   <   2/10	3/5    <      3/10	2/5      <        5/10	3/5    <      5/10		Which inequality is true? 2/5   <   2/10 3/5    <      3/10 2/5      <        5/10 3/5    <      5/10
12	AK		4				0	Lucas spent 3 hours working on his homework. How many minutes did he spend working on his homework?	3	60	120	180		Lucas spent 3 hours working on his homework. How many minutes did he spend working on his homework? 3 60 120 180
13	AK		4				0	There are 4,559 fans at a baseball game. Which statement correctly compares the value of the digit in the hundreds place and the value of the digit in the tens place?	The value of the 5 in the hundreds place is five times the value of the 5 in the tens place.	The value of the 5 in the hundreds place is ten times the value of the 5 in the tens place.	The value of the 5 in the tens place is ten times the value of the 5 in the hundreds place.	The value of the 5 in the tens place is the same as the value of the 5 in the hundreds place.		There are 4,559 fans at a baseball game. Which statement correctly compares the value of the digit in the hundreds place and the value of the digit in the tens place? The value of the 5 in the hundreds place is five times the value of the 5 in the tens place. The value of the 5 in the hundreds place is ten times the value of the 5 in the tens place. The value of the 5 in the tens place is ten times the value of the 5 in the hundreds place. The value of the 5 in the tens place is the same as the value of the 5 in the hundreds place.
14	AK		4				0	A cookie recipe uses 2/3 cup of sugar for one batch. How many cups of sugar are needed for 7 batches?	2 / 21	14 / 21	4  2/3	7 2/3		A cookie recipe uses 2/3 cup of sugar for one batch. How many cups of sugar are needed for 7 batches?  2 / 21  14 / 21 4  2/3 7 2/3
15	AK		4				0	Which number is 56 a multiple of ?	5	6	7	9		Which number is 56 a multiple of ? 5 6 7 9
16	AK		4				0	What is the value of 7/10   +   23/100   ?	30 / 110	30 / 100	93 / 110	93 / 100		What is the value of 7/10   +   23/100   ?  30 / 110  30 / 100  93 / 110  93 / 100
17	AK		4				0	Ryan invited 60 people to a party, but 15 people did not come. All the people that did come to the party sat at 5 different tables. Each table had the same number of people. How many people sat at each table?	3	9	12	15		Ryan invited 60 people to a party, but 15 people did not come. All the people that did come to the party sat at 5 different tables. Each table had the same number of people. How many people sat at each table? 3 9 12 15
18	AK		4				0	Lindsay sold 5 raffle tickets at the school fair. Kirstin sold 4 times as many raffle tickets as Lindsay sold. How many raffle tickets, in total, did Kirstin sell?	4	5	20	25		Lindsay sold 5 raffle tickets at the school fair. Kirstin sold 4 times as many raffle tickets as Lindsay sold. How many raffle tickets, in total, did Kirstin sell?  4 5 20 25
19	AK		4				0	When rounded to the nearest hundred, which number is 6,300?	6000	6249	6251	6389		When rounded to the nearest hundred, which number is 6,300? 6000 6249 6251 6389
20	AK		4				0	Which statement matches the equation 27 = 9 x 3?	27 is 9 times as many as 3.	27 is 9 more than 3.	9 is 3 more than 27.	3 is 27 times as many as 9.		Which statement matches the equation 27 = 9 x 3?  27 is 9 times as many as 3. 27 is 9 more than 3. 9 is 3 more than 27. 3 is 27 times as many as 9.
21	AK		4				1	Molly has 5/8 of a pie left over on Monday, as shown. On Tuesday, Molly ate 2/8 of the whole pie. What fraction of the whole pie is left over on Wednesday?	2 / 8	3 / 8	4 / 8	7 / 8		Molly has 5/8 of a pie left over on Monday, as shown. On Tuesday, Molly ate 2/8 of the whole pie. What fraction of the whole pie is left over on Wednesday?  2 / 8  3 / 8  4 / 8  7 / 8
70	AR	2017.0	4	Operations and Algebraic Thinking	4.OA.B.4		0	Which of the following numbers has the same number of factors as 20?	8	10	18	25	60	Which of the following numbers has the same number of factors as 20? 8 10 18 25 60
71	AR	2017.0	4	Number and Operations in Base Ten	4.NBT.A.2		0	Which of the following expressions has the greatest value?	80,000 + 9,000 + 6	80,000 + 3,000 + 900 + 90 + 9	600,000 + 30,000 + 2,000 + 900 + 1	600,000 + 30,000 + 2,000 + 700 + 20 + 9	600,000 + 20,000 + 9,000 + 700 + 50 + 7	Which of the following expressions has the greatest value? 80,000 + 9,000 + 6 80,000 + 3,000 + 900 + 90 + 9 600,000 + 30,000 + 2,000 + 900 + 1 600,000 + 30,000 + 2,000 + 700 + 20 + 9 600,000 + 20,000 + 9,000 + 700 + 50 + 7
72	AR	2017.0	4	Number and Operations - Fractions	4.NF.B.4.c		0	The 4th-grade class pet is a lizard named Larry. The total length of Larry's body, including his tail, is 18 inches. His tail is 2/3 of his total length. What is the total length, in inches, of Larry's tail?	3	6	12	15	16	The 4th-grade class pet is a lizard named Larry. The total length of Larry's body, including his tail, is 18 inches. His tail is 2/3 of his total length. What is the total length, in inches, of Larry's tail? 3 6 12 15 16
73	AR	2017.0	4	Measurement and Data	4.MD.A.1		0	Exactly how many minutes are in 1 week?	168	1440	2520	7880	10080	Exactly how many minutes are in 1 week? 168 1440 2520 7880 10080
92	CO	2020.0	4				0	A baker has cupcake pans that can hold 12 cupcakes each. The baker made 9 cupcake pans full of vanilla cupcakes and 4 cupcake pans full of strawberry cupcakes. The baker then puts the cupcakes into boxes. The baker puts 8 cupcakes in each box. What is the fewest number of boxes the baker will need for all the cupcakes?	18	20	24	32		A baker has cupcake pans that can hold 12 cupcakes each. The baker made 9 cupcake pans full of vanilla cupcakes and 4 cupcake pans full of strawberry cupcakes. The baker then puts the cupcakes into boxes. The baker puts 8 cupcakes in each box. What is the fewest number of boxes the baker will need for all the cupcakes? 18 20 24 32
93	CO	2020.0	4				0	A store has two lamps for sale. Lamp A costs $9.  Lamp B costs 6 times more than Lamp A. How much is Lamp B?	3	15	45	54		A store has two lamps for sale. Lamp A costs $9.  Lamp B costs 6 times more than Lamp A. How much is Lamp B? 3 15 45 54
94	CO	2020.0	4				0	A group of 63 birds is 9 times more than a group of 7 birds. Which equation has the same meaning as this statement?	63 = 9 x 7	7 = 63 x 9	7 = 9 / 63	63 = 7 / 9		A group of 63 birds is 9 times more than a group of 7 birds. Which equation has the same meaning as this statement? 63 = 9 x 7 7 = 63 x 9 7 = 9 / 63 63 = 7 / 9
95	CO	2020.0	4				0	There are 3,726 students spending the summer at a camp. The students are divided equally into 9 groups. How many students are in each group?	302	414	482	512		There are 3,726 students spending the summer at a camp. The students are divided equally into 9 groups. How many students are in each group? 302 414 482 512
96	CO	2020.0	4				1	The distances, in miles, a person ran in four days is shown in the table.   What is the greatest distance, in miles, the person ran?	3 / 2	5 / 8	10 / 6	6 / 12		The distances, in miles, a person ran in four days is shown in the table.   What is the greatest distance, in miles, the person ran?  3 / 2  5 / 8  10 / 6  6 / 12
97	CO	2020.0	4				1	On Day 5, the person wants to run between 3/4  mile and 6/12  mile. Which distance, in miles, is between 3/4   mile and  6/12  mile?	6 / 10	4 / 10	5 / 4	5 / 12		On Day 5, the person wants to run between 3/4  mile and 6/12  mile. Which distance, in miles, is between 3/4   mile and  6/12  mile?  6 / 10  4 / 10  5 / 4  5 / 12
129	FL	2020.0	4	Operations and Algebraic Thinking	MAFS.4.OA.1		0	Reggie  has 12 times as many model cars as Jackson. Jackson  has 5 model cars. Which equation can be used to determine the number of  cars Reggie  has?	5 x 12  = ?	5 + 12  = ?	12 –  5  = ?	12 ÷  5  = ?		Reggie  has 12 times as many model cars as Jackson. Jackson  has 5 model cars. Which equation can be used to determine the number of  cars Reggie  has?   5 x 12  = ? 5 + 12  = ?   12 –  5  = ?   12 ÷  5  = ?
130	FL	2020.0	4	Operations and Algebraic Thinking	MAFS.4.OA.2		0	What are  all  the factors of 10?	2022-01-10 00:00:00	2022-02-05 00:00:00	2010-01-05 00:00:00	1, 2,  5, 10		What are  all  the factors of 10? 1, 10 2, 5 1, 5, 10 1, 2,  5, 10
131	FL	2020.0	4	Number and Operations - Fractions	MAFS.4.NF.1		0	Corey tried to find a fraction equivalent to 3/5. His work  is shown. 3/5 = 3/5  x 1/2   = 3/10 Which  statement describes Corey’s error?	It is impossible to find a fraction  equivalent  to 3/5.	He did not multiply 3/5 by a fraction equal  to 1.	He incorrectly multiplied 3/5 and 1/2.	He should have divided by 1/2.		Corey tried to find a fraction equivalent to 3/5. His work  is shown. 3/5 = 3/5  x 1/2   = 3/10 Which  statement describes Corey’s error?  It is impossible to find a fraction  equivalent  to 3/5. He did not multiply 3/5 by a fraction equal  to 1.  He incorrectly multiplied 3/5 and 1/2.  He should have divided by 1/2.
132	FL	2020.0	4	Number and Operations - Fractions	MAFS.4.NF.2		0	What is the value of the following expression? 2/10 + 9/10	11 / 20	11 / 10	18 / 10	18 / 100		What is the value of the following expression? 2/10 + 9/10   11 / 20  11 / 10  18 / 10 18 / 100
133	FL	2020.0	4	Number and Operations - Fractions	MAFS.4.NF.2		0	What is  the sum of 2 2/3 and  1 2/3 ?	3  1 / 3	3    4 / 6	4   1 / 3	4    2 / 3		What is  the sum of 2 2/3 and  1 2/3 ?  3  1 / 3 3    4 / 6 4   1 / 3 4    2 / 3
134	FL	2020.0	4	Number and Operations - Fractions	MAFS.4.NF.3		0	Which fraction is equivalent to 3/10?	10 / 30	30 / 100	10 / 3	30 / 10		Which fraction is equivalent to 3/10?   10 / 30 30 / 100  10 / 3  30 / 10
135	FL	2020.0	4	Measurement and Data	MAFS.4.MD.2		1	A line plot with Kelly’s lengths of ribbons is shown. What is  the total length, in inches, of  the longest piece and shortest piece of ribbon?	12   3 / 4	26  3 / 4	43  3 / 4	50    3 / 4		A line plot with Kelly’s lengths of ribbons is shown. What is  the total length, in inches, of  the longest piece and shortest piece of ribbon?  12   3 / 4 26  3 / 4 43  3 / 4 50    3 / 4
136	FL	2020.0	4	Measurement and Data	MAFS.4.MD.2		1	A line plot with Kelly’s lengths of ribbons is shown. She adds another ribbon so that the difference between the longest ribbon and shortest ribbon is 1 2/8 inches. What length  of ribbon, in inches,  could  Kelly have added?	13	13    6 / 8	14    7 / 8	16		A line plot with Kelly’s lengths of ribbons is shown. She adds another ribbon so that the difference between the longest ribbon and shortest ribbon is 1 2/8 inches. What length  of ribbon, in inches,  could  Kelly have added?  13 13    6 / 8 14    7 / 8 16
137	FL	2020.0	4	Measurement and Data	MAFS.4.MD.3		1	What is the measure of the unknown angle?	40°	100°	120°	180°		What is the measure of the unknown angle?  40° 100°  120°  180°
207	GA	2020.0	4	Operations and Algebraic Thinking	MGSE4.OA.1		0	There are 3 times as many red crayons in a bucket as blue crayons. There are 8 blue crayons.  Which equation represents the number of red crayons in the bucket?	16 ÷ 8 = 3	8 – 3 = 5	3 + 8 = 11	3 × 8 = 24		There are 3 times as many red crayons in a bucket as blue crayons. There are 8 blue crayons.  Which equation represents the number of red crayons in the bucket? 16 ÷ 8 = 3 8 – 3 = 5 3 + 8 = 11 3 × 8 = 24
208	GA	2020.0	4	Operations and Algebraic Thinking	MGSE4.OA.4		0	A factor pair of 93 is 1 and 93. What is another factor pair of 93?	3 and 9	3 and 31	9 and 10	3 and 90		A factor pair of 93 is 1 and 93. What is another factor pair of 93? 3 and 9 3 and 31 9 and 10 3 and 90
209	GA	2020.0	4	Number and Operations in Base Ten	MGSE4.NBT.3		0	The population of Pleasantville is 2,378. What is the population of the city, rounded to the nearest hundred?	2000	2300	2380	2400		The population of Pleasantville is 2,378. What is the population of the city, rounded to the nearest hundred?  2000 2300 2380 2400
210	GA	2020.0	4	Number and Operations in Base Ten	MGSE4.NBT.4		0	Subtract. 2,406 − 157	2249	2259	2349	2351		Subtract. 2,406 − 157  2249 2259 2349 2351
211	GA	2020.0	4	Number and Operations in Base Ten	MGSE4.NBT.5		0	Multiply. 35 × 43	425	1325	1405	1505		Multiply. 35 × 43  425 1325 1405 1505
212	GA	2020.0	4	Number and Operations - Fractions	MGSE4.NF.2		0	Look at the expression.  __  > 1/2   Which fraction goes in the __  to make this expression TRUE?	1 / 4	2 / 3	2 / 4	1 /3		Look at the expression.  __  > 1/2   Which fraction goes in the __  to make this expression TRUE?   1 / 4  2 / 3  2 / 4  1 /3
213	GA	2020.0	4	Number and Operations - Fractions	MGSE4.NF.3a		0	Which equation is TRUE?	2/8  = 1/5 + 1/3	3/8 = 1/3 + 1/3 + 1/3	6/8 = 1/8 + 1/8 + 1/8 + 1/8 + 1/8 + 1/8	6/8 = 1/6 + 1/6 + 1/6 + 1/6 + 1/6 + 1/6 + 1/6 + 1/6		Which equation is TRUE? 2/8  = 1/5 + 1/3 3/8 = 1/3 + 1/3 + 1/3 6/8 = 1/8 + 1/8 + 1/8 + 1/8 + 1/8 + 1/8 6/8 = 1/6 + 1/6 + 1/6 + 1/6 + 1/6 + 1/6 + 1/6 + 1/6
214	GA	2020.0	4	Number and Operations - Fractions	MGSE4.NF.4c		0	Sarita has 3 rolls of ribbon.  Sarita cuts off  1/2 yard from each roll. How much ribbon does she cut off in all?	1 yard	1 1/2 yards	3 yards	3 1/2 yards		Sarita has 3 rolls of ribbon.  Sarita cuts off  1/2 yard from each roll. How much ribbon does she cut off in all? 1 yard 1 1/2 yards 3 yards 3 1/2 yards
215	GA	2020.0	4	Number and Operations - Fractions	MGSE4.NF.4		0	Susan uses a similar model to find the product of 5 and 3/4. What is the value of 5 x 3/4 ?	15 / 20	15 / 4	15	20		Susan uses a similar model to find the product of 5 and 3/4. What is the value of 5 x 3/4 ?  15 / 20  15 / 4 15 20
216	GA	2020.0	4	Number and Operations - Fractions	MGSE4.NF.5		0	Which fraction is equivalent to 3/10 ?	3 / 100	6 / 100	10 / 100	30 / 100		Which fraction is equivalent to 3/10 ?  3 / 100  6 / 100  10 / 100  30 / 100
217	GA	2020.0	4	Number and Operations - Fractions	MGSE4.NF.6		0	Which decimal is equivalent to 43/100?	0.043	0.43	4.3	43		Which decimal is equivalent to 43/100? 0.043 0.43 4.3 43
218	GA	2020.0	4	Geometry	MGSE4.G.1		0	Which type of lines meet at a 90° angle?	curved	diagonal	parallel	perpendicular		Which type of lines meet at a 90° angle?  curved diagonal parallel  perpendicular
219	GA	2020.0	4	Measurement and Data	MGSE4.MD.3		0	Ms .  Johnson planted a rectangular garden.  The length of the garden is 8 feet.  The width is 7 feet. What is the perimeter of the garden? Perimeter = 2(length + width)	15 feet	20 feet	30 feet	56 feet		Ms .  Johnson planted a rectangular garden.  The length of the garden is 8 feet.  The width is 7 feet. What is the perimeter of the garden? Perimeter = 2(length + width) 15 feet 20 feet 30 feet 56 feet
